Id;NAME;Cap;EV;Выручка;Чистаяприбыль;P/E;P/S;P/B;EV/EBITDA;долг/EBITDA;cluster
64;Россети Ленэнерго;67.0;97.0;83.0;12.0;5.6;0.8;0.5;2.8;0.8;1
65;МОЭСК;60.0;145.0;164.0;4.7;12.8;0.4;0.3;4.3;2.5;1
66;Мать и Дитя (MD);59.0;62.0;19.0;4.2;14.1;3.1;3.0;10.3;0.5;1
67;Иркутскэнерго;55.0;235.0;115.0;1.3;41.6;0.5;0.6;12.3;9.4;1
68;ДВМП;53.0;81.0;62.0;8.0;6.6;0.9;-16.1;6.6;2.2;1
69;Протек;53.0;49.0;266.0;3.5;15.2;0.2;1.7;5.0;-0.4;1
70;АВТОВАЗ;53.0;137.0;226.0;-9.7;-5.5;0.2;-0.7;-42.4;-26.1;1
71;Алроса Нюрба;52.0;52.0;36.0;17.3;3.0;1.5;0.94;4.0;-3.59;1
72;Мечел;52.0;367.0;366.0;0.8;64.1;0.1;-0.2;8.9;7.7;4
73;САФМАР;52.0;122.0;14.0;-3.7;-13.9;3.6;0.8;24.4;-1.0;1
74;КАМАЗ;51.0;135.0;213.0;3.3;15.5;0.2;1.4;8.6;5.4;1
75;Инград;51.0;144.0;71.0;1.1;48.4;0.7;6.8;16.4;10.6;4
76;КИВИ (QIWI);45.0;17.0;26.0;10.3;4.4;1.7;2.2;1.2;-2.1;1
77;Русснефть;45.0;135.0;133.0;-17.0;-2.7;0.3;1.8;-27.0;-17.9;1
78;ТГК-1;43.0;59.0;89.0;8.3;5.2;0.5;0.3;2.7;0.7;1
79;Global Ports;42.0;42.0;0.0;0.0;14115.3;1411.5;1764.4;2119.4;2.2;0
80;Белуга Групп;42.0;54.0;63.0;2.5;17.1;0.7;6.5;5.9;1.3;1
81;Дикси;41.0;70.0;283.0;-6.0;-6.7;0.1;-92.6;6.4;2.7;9
82;Русская аквакультура;40.0;46.0;8.0;3.1;12.8;4.8;3.5;13.6;1.8;1
83;Селигдар;39.0;76.0;33.0;0.2;162.8;1.2;1.9;5.3;2.6;4
84;Славнефть Мегионнефтегаз;39.0;94.0;189.0;11.8;3.3;0.2;0.3;-120.0;-71.9;5
85;Эталон;36.0;61.0;79.0;2.0;17.6;0.5;0.7;3.7;1.5;1
86;Аптеки 36 и 6;31.0;70.0;39.0;6.4;4.9;0.8;-1.7;14.9;8.3;1
87;Русолово;30.0;35.0;3.0;-0.4;-70.7;10.9;7.6;114.2;17.1;8
88;ИРКУТ;30.0;202.0;118.0;-68.4;-0.4;0.3;-0.3;-5.5;-4.7;1
89;Энел Россия;29.0;43.0;44.0;3.6;8.0;0.7;0.7;4.7;1.5;1
90;Россети Сибирь;29.0;68.0;58.0;-0.3;-103.8;0.5;1.8;7.1;4.1;8
91;Россети Центр и Приволжье;28.0;55.0;97.0;6.4;4.3;0.3;0.5;2.7;1.4;1
93;Отисифарм;27.0;30.0;28.0;7.2;3.7;0.9;1.1;-1.0;-1.0;1
94;Мостотрест;26.0;33.0;98.0;-6.2;-4.3;0.3;12.3;7.7;1.6;1
95;Ютэйр;25.0;74.0;58.0;3.1;8.0;0.4;-1.0;5.9;3.9;1
96;ОКС;24.0;24.0;2.0;-9.6;-2.5;11.3;1.3;-1.0;-1.0;1
97;НКХП;22.0;23.0;8.0;2.3;9.7;2.9;2.8;6.6;0.1;1
98;Славнефть-ЯНОС;22.0;49.0;29.0;3.5;6.3;0.8;0.3;3.6;2.0;1
99;Южный Кузбасс;21.0;160.0;28.0;-20.6;-1.0;0.7;-0.5;-111.6;-97.2;5
100;Абрау-Дюрсо;19.0;25.0;10.0;1.1;17.4;1.9;1.9;14.8;3.7;1
101;Россети Кубань;18.0;47.0;50.0;-1.2;-14.8;0.4;0.6;9.7;5.9;1
103;Россети Центр;17.0;63.0;98.0;2.1;8.2;0.2;0.4;3.1;2.3;1
104;КТК;15.0;24.0;40.0;-4.8;-3.2;0.4;1.7;-10.5;-3.9;1
105;Окей;14.0;42.0;174.0;-1.4;-9.7;0.1;1.1;2.8;1.9;1
106;ДЭК;13.0;24.0;108.0;1.1;12.4;0.1;0.7;4.3;1.8;1
107;Саратовский НПЗ;13.0;13.0;12.0;2.8;4.7;1.1;0.4;2.5;-1.0;1
108;Россети Урал;13.0;34.0;89.0;0.5;28.2;0.1;0.3;3.3;2.0;1
109;ЧМК;13.0;230.0;114.0;-0.5;-26.8;0.1;0.4;23.5;22.2;1
110;ТНС энерго;13.0;32.0;236.0;-3.8;-3.5;0.1;-0.6;-19.4;-11.5;1
111;Коршуновский ГОК;13.0;13.0;13.0;3.2;4.0;1.0;0.3;2.56;0.02;1
112;Квадра;12.0;44.0;55.0;0.0;308.2;0.2;0.3;4.9;3.6;7
113;ЦМТ;12.0;11.0;5.0;-0.1;-91.2;2.3;0.3;-31.9;2.0;8
114;Таттелеком;12.0;10.0;10.0;1.9;6.2;1.2;1.6;2.6;-0.3;1
115;ОМЗ;11.0;37.0;48.0;0.2;68.1;0.2;0.6;8.4;5.9;4
116;ТНС энерго Нижний Новгород;11.0;15.0;41.0;-3.8;-2.8;0.3;-1.6;-2.9;-0.8;1
117;Россети Волга;10.0;18.0;60.0;-0.1;-84.5;0.2;0.3;3.6;1.6;8
118;Павловский автобус;10.0;10.0;1.0;-0.2;-44.8;18.7;7.58;-29.0;0.65;1
119;Додо Пицца;10.0;10.0;3.0;-0.1;-124.6;3.2;29.6;47.2;-0.9;8
120;Уральская кузница;9.0;11.0;10.0;2.7;3.3;0.9;0.3;9.6;1.9;1
121;ГАЗ;9.0;55.0;165.0;3.3;2.7;0.1;-1.7;3.7;3.1;1
122;Галс Девелопмент;9.0;76.0;4.0;-1.0;-8.3;2.1;-0.5;12.0;10.7;1
123;Энергия РКК;8.0;16.0;42.0;-6.1;-1.4;0.2;-1.4;-10.8;-5.0;1
124;Ашинский МЗ;8.0;10.0;25.0;0.5;15.1;0.3;0.9;3.9;0.6;1
125;ОВК;8.0;43.0;80.0;-25.4;-0.3;0.1;-0.4;3.3;2.7;1
126;Белон;8.0;8.0;0.0;-0.7;-12.0;1314.8;1.5;973.0;0.0;3
127;Камчатскэнерго;8.0;17.0;15.0;2.3;3.4;0.5;1.6;3.0;1.7;1
128;МЕРИДИАН;8.0;8.0;2.0;0.4;19.9;3.1;4.0;-158.0;-2.62;5
129;Бурятзолото;8.0;-5.0;6.0;1.1;7.2;1.2;0.5;5.6;14.7;1
130;Пермэнергосбыт;7.0;5.0;41.0;0.7;9.8;0.2;3.8;4.4;-1.5;1
131;Красноярскэнергосбыт;7.0;7.0;34.0;0.8;8.8;0.2;3.95;4.18;-1.16;1
132;Соллерс;7.0;9.0;66.0;-2.1;-3.3;0.1;0.5;3.2;0.8;1
133;Курганская ГК;7.0;8.0;8.0;0.2;34.3;0.9;1.2;8.4;1.6;1
134;ТГК-2;6.0;19.0;44.0;-0.1;-59.4;0.1;0.2;5.1;3.5;8
135;ЮУНК;5.0;5.0;0.0;0.2;20.4;53.0;0.6;-21.78;0.0;1
136;ТНС энерго Воронеж;5.0;6.0;26.0;0.7;6.8;0.2;3.9;5.3;1.0;1
137;Россети Северо-Запад;5.0;20.0;48.0;-1.1;-4.1;0.1;0.3;4.6;3.6;1
138;Европейская Электротехника;5.0;5.0;4.0;0.4;12.4;1.3;3.9;9.4;0.2;1
139;МагадЭн;5.0;6.0;11.0;0.9;4.9;0.4;1.5;4.3;1.2;1
140;Газпром РнД (Ростовоблгаз);4.0;4.0;8.0;0.8;5.5;0.6;0.25;3.46;1.05;1
141;Россети Северный Кавказ;4.0;14.0;28.0;-11.5;-0.4;0.2;-0.2;-1.6;-1.2;1
142;ТНС энерго Ростов-на-Дону;4.0;9.0;44.0;0.2;21.0;0.1;-2.8;9.1;4.6;1
144;Россети Юг;4.0;24.0;41.0;-1.2;-3.3;0.1;1.6;7.5;6.2;1
145;Красный Октябрь;4.0;4.0;15.0;0.4;11.5;0.3;0.5;4.9;-0.1;1
148;ТГК-14;4.0;5.0;13.0;0.3;12.0;0.3;0.6;3.5;1.0;1
149;ИСКЧ;4.0;4.0;1.0;0.1;51.7;3.5;58.9;14.3;0.3;4
150;Русполимет;4.0;10.0;15.0;0.0;-289.0;0.3;0.6;2.4;1.5;6
152;Якутскэнерго;4.0;25.0;20.0;-2.0;-1.8;0.2;3.4;7.6;6.5;1
158;OR Group (Обувь России);3.0;15.0;11.0;0.6;4.6;0.2;0.2;6.6;5.5;1
160;Северо-Западное Пароходство;2.0;7.0;11.0;1.3;1.9;0.2;0.3;1.9;1.2;1
161;НПО Наука;2.0;3.0;2.0;0.0;140.4;1.3;0.9;11.7;3.7;4
163;ТНС энерго Кубань;2.0;5.0;50.0;-0.5;-4.5;0.0;-2.4;20.1;11.5;1
164;Globaltruck;2.0;5.0;10.0;0.1;31.5;0.2;0.4;5.1;3.0;1
165;Светофор Групп;2.0;2.0;0.0;0.1;28.8;6.0;-10.9;15.2;0.4;1
166;Химпром;2.0;6.0;15.0;0.9;2.1;0.1;0.6;2.8;1.9;1
167;ТНС энерго Марий Эл;2.0;2.0;7.0;0.3;6.9;0.2;1.6;6.5;1.8;1
168;Нижнекамскшина;2.0;4.0;7.0;-4.2;-0.4;0.2;-0.7;-0.7;-0.4;1
169;Россети Томск (ТРК);2.0;1.0;7.0;-0.3;-4.6;0.2;0.5;13.5;-0.6;1
170;ЧЗПСН;1.0;3.0;6.0;0.0;72.8;0.3;0.1;18.4;9.9;4
171;Сахалинэнерго;1.0;3.0;10.0;-2.7;-0.5;0.1;0.5;0.6;0.3;1
172;РБК;1.0;15.0;6.0;0.5;2.8;0.2;-0.1;11.7;10.6;1
174;Росинтер;1.0;6.0;4.0;-1.8;-0.6;0.3;-0.3;3.1;2.5;1
175;ММЦБ;1.0;1.0;0.0;0.1;8.5;4.3;5.9;6.7;-0.2;1
178;Калужская сбытовая компания;1.0;5.0;22.0;0.1;11.6;0.0;0.9;8.2;6.5;1
179;Фармсинтез;1.0;1.0;0.0;-0.5;-1.8;2.4;1.5;-2.8;-0.8;1
180;Челябэнергосбыт;1.0;7.0;40.0;0.2;5.0;0.0;1.0;12.3;10.8;1
191;Омскшина;0.0;0.0;11.0;0.0;14.5;0.0;0.3;2.3;0.1;1
194;ВХЗ;0.0;1.0;3.0;0.0;9.0;0.1;1.0;7.8;4.4;1
196;Наука-Связь;0.0;1.0;1.0;0.0;7.1;0.2;0.3;2.1;1.2;1
198;Мультисистема;0.0;0.0;1.0;0.0;65.4;0.4;2.5;46.4;7.2;4
201;Владимирэнергосбыт;0.0;0.0;0.0;-0.5;-0.2;0.4;-0.3;20.0;14.1;1
202;Медиахолдинг;0.0;0.0;0.0;-0.3;-0.2;79.2;-2.1;-1.1;-0.8;1
205;ТКСМ;0.0;0.0;0.0;0.0;4.8;0.3;0.6;3.5;0.0;1
206;МедиаВиМ;0.0;0.0;0.0;0.0;2.7;0.1;0.1;2.1;0.0;1
212;КМЗ;4.63;0.0;2.0;0.2;0.0;0.0;0.0;9.22;-1.0;1
216;КОКС;2.34;38.0;92.0;-14.4;0.0;0.03;0.0;2.2;2.2;1
217;Физика;1.07;0.97;1.0;0.2;6.0;1.84;0.37;2.6;-0.27;1
219;Самолет;147.17;29.0;60.0;3.2;0.0;0.0;0.0;2.4;2.4;1
222;Евраз;4.28;237.0;704.0;61.2;0.0;0.0;0.0;1.5;1.5;1
224;Морион;0.71;0.0;2.0;0.2;0.0;0.0;0.0;-2.0;-2.0;1
225;Т Плюс;0.0;126.0;384.0;11.3;0.0;0.0;0.0;2.3;2.3;1
227;Уралкалий;151.01;310.0;195.0;-2.2;0.0;0.0;0.0;3.5;3.5;1
Id;NAME;Cap;EV;Выручка;Чистаяприбыль;P/E;P/S;P/B;EV/EBITDA;долг/EBITDA;cluster
1;Газпром;6741.0;10613.0;6321.0;0.1;49934.2;1.1;0.5;7.2;2.6;2
2;Роснефть;5361.0;9146.0;5757.0;324.0;16.5;0.9;1.2;7.6;3.1;1
3;НОВАТЭК;4955.0;5058.0;712.0;169.0;29.3;7.0;3.1;12.9;0.3;1
4;Лукойл;4101.0;4417.0;5639.0;15.2;269.8;0.7;1.0;6.4;0.5;7
5;ГМК Норникель;4000.0;4329.0;1117.0;245.4;16.3;3.6;14.2;7.8;0.6;1
6;Газпромнефть;2017.0;2564.0;2000.0;118.0;17.1;1.0;1.0;6.2;1.3;1
7;Полюс золото;1871.0;2027.0;364.0;119.2;15.7;5.1;11.4;7.5;0.6;1
8;Яндекс;1642.0;1487.0;218.0;21.0;78.1;7.5;8.3;29.9;-3.1;4
9;НЛМК;1549.0;1744.0;667.0;89.2;17.4;2.3;4.8;9.1;1.0;1
10;Северсталь;1498.0;1647.0;486.0;74.6;20.1;3.1;8.2;9.4;0.9;1
11;Сургутнефтегаз;1455.0;-2374.0;1182.0;743.0;2.0;1.2;0.3;-9.5;-15.4;1
12;Татнефть;1131.0;1126.0;721.0;104.6;10.8;1.6;1.4;6.0;0.0;1
13;Транснефть;1053.0;1580.0;962.0;133.0;7.9;1.1;0.5;3.6;1.2;1
14;АЛРОСА;954.0;1035.0;222.0;32.2;29.6;4.3;3.6;11.8;0.9;1
15;Русал;789.0;1200.0;618.0;71.4;11.0;1.3;2.6;19.1;6.5;1
16;ММК;767.0;761.0;463.0;43.7;17.6;1.7;2.3;7.0;-0.1;1
17;ПИК СЗ;762.0;898.0;380.0;86.0;8.9;2.0;4.6;8.0;1.2;1
18;Полиметалл;749.0;849.0;207.0;78.3;9.6;3.6;5.1;7.0;0.8;1
19;Ozon;676.0;598.0;104.0;-22.3;-30.4;6.5;8.6;-51.1;6.7;1
20;X5 Retail Group;644.0;886.0;1978.0;28.3;22.8;0.3;-64.1;3.6;1.0;9
21;МТС;629.0;947.0;495.0;61.4;10.2;1.3;-6.3;4.4;1.5;1
22;ФосАгро;596.0;747.0;254.0;46.8;12.7;2.3;5.7;8.9;1.8;1
23;Магнит;546.0;667.0;1554.0;33.0;16.5;0.4;3.6;3.7;0.7;1
24;En+;530.0;1256.0;747.0;73.3;7.2;0.7;7.4;9.4;5.4;1
25;Fix Price;478.0;477.0;190.0;17.6;27.2;2.5;-125.8;13.0;0.0;9
26;ИнтерРАО;454.0;126.0;986.0;75.5;6.0;0.5;0.8;1.0;-2.7;1
27;Московская биржа;394.0;290.0;49.0;25.2;15.7;8.1;3.7;8.2;-3.0;1
28;Mail.Ru Group;365.0;370.0;101.0;-20.9;-17.4;3.6;14.8;13.8;0.2;1
29;Русгидро;354.0;502.0;383.0;67.0;5.3;0.9;0.6;4.2;1.2;1
30;ВСМПО-АВИСМА;353.0;387.0;89.0;6.6;53.5;4.0;1.8;11.8;1.0;4
31;АФК Система;285.0;895.0;692.0;16.0;17.8;0.4;-3.1;3.8;2.6;1
32;Россети;265.0;763.0;1002.0;43.9;6.0;0.3;0.2;2.6;1.7;1
33;Ростелеком;258.0;631.0;565.0;23.3;11.0;0.5;6.6;3.3;1.9;1
34;ФСК ЕЭС;256.0;453.0;237.0;69.4;3.7;1.1;0.3;3.4;1.5;1
35;Акрон;245.0;345.0;120.0;3.8;63.9;2.0;5.7;9.8;2.8;4
36;Башнефть;237.0;360.0;527.0;-11.1;-21.3;0.4;0.5;11.2;3.8;1
37;ОАК;224.0;625.0;432.0;-152.0;-1.5;0.5;-1.1;-6.6;-4.2;1
38;Совкомфлот;207.0;315.0;97.0;19.3;10.7;2.1;0.7;4.8;1.7;1
39;НКНХ;204.0;285.0;154.0;9.0;22.6;1.3;1.5;9.8;2.8;1
40;VEON;197.0;787.0;608.0;-26.6;-7.4;0.3;-0.7;3.0;2.2;1
41;МГТС;188.0;186.0;41.0;12.9;14.6;4.6;2.3;7.9;-0.1;1
42;Распадская;180.0;138.0;42.0;12.7;14.2;4.3;2.3;9.7;-3.0;1
43;Казаньоргсинтез;180.0;172.0;63.0;8.4;21.4;2.9;2.8;12.7;-0.6;1
44;Юнипро;173.0;173.0;75.0;13.8;12.6;2.3;1.4;6.5;0.0;1
45;Аэрофлот;165.0;823.0;302.0;-113.0;-1.5;0.5;-1.5;30.5;24.4;1
46;HeadHunter;160.0;165.0;8.0;2.7;58.7;19.4;-16.2;39.4;1.2;4
47;Русагро;145.0;214.0;159.0;24.3;6.0;0.9;1.2;6.7;2.2;1
48;ЧТПЗ;144.0;223.0;138.0;6.7;21.5;1.0;-29.3;7.8;2.8;1
49;НМТП;139.0;169.0;46.0;4.8;28.7;3.0;2.7;5.5;1.0;1
50;Сегежа;116.0;166.0;69.0;-1.4;-86.1;1.7;17.9;9.5;2.8;8
51;М.Видео;115.0;156.0;418.0;10.3;11.2;0.3;-3.1;3.2;0.8;1
52;Лента;114.0;205.0;446.0;16.5;6.9;0.3;1.2;4.6;2.0;1
53;Детский Мир;104.0;122.0;143.0;7.3;14.2;0.7;-25.1;7.2;1.1;1
54;Globaltrans;103.0;130.0;68.0;10.6;9.8;1.5;2.2;4.9;1.0;1
55;ТМК;103.0;230.0;223.0;24.3;4.2;0.5;1.6;5.4;3.0;1
57;Черкизово;97.0;161.0;129.0;13.9;7.0;0.8;1.4;6.1;2.4;1
58;PETROPAVLOVSK;88.0;125.0;71.0;-3.3;-26.7;1.2;1.8;4.9;1.5;1
59;Мосэнерго;86.0;93.0;181.0;8.0;10.7;0.5;0.3;3.1;0.2;1
60;ЯТЭК;78.0;85.0;6.0;0.7;119.5;12.3;6.5;26.7;2.2;4
61;ЛСР Группа;76.0;93.0;118.0;12.0;6.3;0.6;0.9;3.4;0.6;1
62;ОГК-2;75.0;119.0;121.0;13.3;5.6;0.6;0.5;3.4;1.3;1
63;КуйбышевАзот;68.0;89.0;53.0;0.7;94.2;1.3;2.3;9.4;2.2;4
64;Россети Ленэнерго;67.0;97.0;83.0;12.0;5.6;0.8;0.5;2.8;0.8;1
65;МОЭСК;60.0;145.0;164.0;4.7;12.8;0.4;0.3;4.3;2.5;1
66;Мать и Дитя (MD);59.0;62.0;19.0;4.2;14.1;3.1;3.0;10.3;0.5;1
67;Иркутскэнерго;55.0;235.0;115.0;1.3;41.6;0.5;0.6;12.3;9.4;1
68;ДВМП;53.0;81.0;62.0;8.0;6.6;0.9;-16.1;6.6;2.2;1
69;Протек;53.0;49.0;266.0;3.5;15.2;0.2;1.7;5.0;-0.4;1
70;АВТОВАЗ;53.0;137.0;226.0;-9.7;-5.5;0.2;-0.7;-42.4;-26.1;1
71;Алроса Нюрба;52.0;52.0;36.0;17.3;3.0;1.5;0.94;4.0;-3.59;1
72;Мечел;52.0;367.0;366.0;0.8;64.1;0.1;-0.2;8.9;7.7;4
73;САФМАР;52.0;122.0;14.0;-3.7;-13.9;3.6;0.8;24.4;-1.0;1
74;КАМАЗ;51.0;135.0;213.0;3.3;15.5;0.2;1.4;8.6;5.4;1
75;Инград;51.0;144.0;71.0;1.1;48.4;0.7;6.8;16.4;10.6;4
76;КИВИ (QIWI);45.0;17.0;26.0;10.3;4.4;1.7;2.2;1.2;-2.1;1
77;Русснефть;45.0;135.0;133.0;-17.0;-2.7;0.3;1.8;-27.0;-17.9;1
78;ТГК-1;43.0;59.0;89.0;8.3;5.2;0.5;0.3;2.7;0.7;1
79;Global Ports;42.0;42.0;0.0;0.0;14115.3;1411.5;1764.4;2119.4;2.2;0
80;Белуга Групп;42.0;54.0;63.0;2.5;17.1;0.7;6.5;5.9;1.3;1
81;Дикси;41.0;70.0;283.0;-6.0;-6.7;0.1;-92.6;6.4;2.7;9
82;Русская аквакультура;40.0;46.0;8.0;3.1;12.8;4.8;3.5;13.6;1.8;1
83;Селигдар;39.0;76.0;33.0;0.2;162.8;1.2;1.9;5.3;2.6;4
84;Славнефть Мегионнефтегаз;39.0;94.0;189.0;11.8;3.3;0.2;0.3;-120.0;-71.9;5
85;Эталон;36.0;61.0;79.0;2.0;17.6;0.5;0.7;3.7;1.5;1
86;Аптеки 36 и 6;31.0;70.0;39.0;6.4;4.9;0.8;-1.7;14.9;8.3;1
87;Русолово;30.0;35.0;3.0;-0.4;-70.7;10.9;7.6;114.2;17.1;8
88;ИРКУТ;30.0;202.0;118.0;-68.4;-0.4;0.3;-0.3;-5.5;-4.7;1
89;Энел Россия;29.0;43.0;44.0;3.6;8.0;0.7;0.7;4.7;1.5;1
90;Россети Сибирь;29.0;68.0;58.0;-0.3;-103.8;0.5;1.8;7.1;4.1;8
91;Россети Центр и Приволжье;28.0;55.0;97.0;6.4;4.3;0.3;0.5;2.7;1.4;1
93;Отисифарм;27.0;30.0;28.0;7.2;3.7;0.9;1.1;-1.0;-1.0;1
94;Мостотрест;26.0;33.0;98.0;-6.2;-4.3;0.3;12.3;7.7;1.6;1
95;Ютэйр;25.0;74.0;58.0;3.1;8.0;0.4;-1.0;5.9;3.9;1
96;ОКС;24.0;24.0;2.0;-9.6;-2.5;11.3;1.3;-1.0;-1.0;1
97;НКХП;22.0;23.0;8.0;2.3;9.7;2.9;2.8;6.6;0.1;1
98;Славнефть-ЯНОС;22.0;49.0;29.0;3.5;6.3;0.8;0.3;3.6;2.0;1
99;Южный Кузбасс;21.0;160.0;28.0;-20.6;-1.0;0.7;-0.5;-111.6;-97.2;5
100;Абрау-Дюрсо;19.0;25.0;10.0;1.1;17.4;1.9;1.9;14.8;3.7;1
101;Россети Кубань;18.0;47.0;50.0;-1.2;-14.8;0.4;0.6;9.7;5.9;1
103;Россети Центр;17.0;63.0;98.0;2.1;8.2;0.2;0.4;3.1;2.3;1
104;КТК;15.0;24.0;40.0;-4.8;-3.2;0.4;1.7;-10.5;-3.9;1
105;Окей;14.0;42.0;174.0;-1.4;-9.7;0.1;1.1;2.8;1.9;1
106;ДЭК;13.0;24.0;108.0;1.1;12.4;0.1;0.7;4.3;1.8;1
107;Саратовский НПЗ;13.0;13.0;12.0;2.8;4.7;1.1;0.4;2.5;-1.0;1
108;Россети Урал;13.0;34.0;89.0;0.5;28.2;0.1;0.3;3.3;2.0;1
109;ЧМК;13.0;230.0;114.0;-0.5;-26.8;0.1;0.4;23.5;22.2;1
110;ТНС энерго;13.0;32.0;236.0;-3.8;-3.5;0.1;-0.6;-19.4;-11.5;1
111;Коршуновский ГОК;13.0;13.0;13.0;3.2;4.0;1.0;0.3;2.56;0.02;1
112;Квадра;12.0;44.0;55.0;0.0;308.2;0.2;0.3;4.9;3.6;7
113;ЦМТ;12.0;11.0;5.0;-0.1;-91.2;2.3;0.3;-31.9;2.0;8
114;Таттелеком;12.0;10.0;10.0;1.9;6.2;1.2;1.6;2.6;-0.3;1
115;ОМЗ;11.0;37.0;48.0;0.2;68.1;0.2;0.6;8.4;5.9;4
116;ТНС энерго Нижний Новгород;11.0;15.0;41.0;-3.8;-2.8;0.3;-1.6;-2.9;-0.8;1
117;Россети Волга;10.0;18.0;60.0;-0.1;-84.5;0.2;0.3;3.6;1.6;8
118;Павловский автобус;10.0;10.0;1.0;-0.2;-44.8;18.7;7.58;-29.0;0.65;1
119;Додо Пицца;10.0;10.0;3.0;-0.1;-124.6;3.2;29.6;47.2;-0.9;8
120;Уральская кузница;9.0;11.0;10.0;2.7;3.3;0.9;0.3;9.6;1.9;1
121;ГАЗ;9.0;55.0;165.0;3.3;2.7;0.1;-1.7;3.7;3.1;1
122;Галс Девелопмент;9.0;76.0;4.0;-1.0;-8.3;2.1;-0.5;12.0;10.7;1
123;Энергия РКК;8.0;16.0;42.0;-6.1;-1.4;0.2;-1.4;-10.8;-5.0;1
124;Ашинский МЗ;8.0;10.0;25.0;0.5;15.1;0.3;0.9;3.9;0.6;1
125;ОВК;8.0;43.0;80.0;-25.4;-0.3;0.1;-0.4;3.3;2.7;1
126;Белон;8.0;8.0;0.0;-0.7;-12.0;1314.8;1.5;973.0;0.0;3
127;Камчатскэнерго;8.0;17.0;15.0;2.3;3.4;0.5;1.6;3.0;1.7;1
128;МЕРИДИАН;8.0;8.0;2.0;0.4;19.9;3.1;4.0;-158.0;-2.62;5
129;Бурятзолото;8.0;-5.0;6.0;1.1;7.2;1.2;0.5;5.6;14.7;1
130;Пермэнергосбыт;7.0;5.0;41.0;0.7;9.8;0.2;3.8;4.4;-1.5;1
131;Красноярскэнергосбыт;7.0;7.0;34.0;0.8;8.8;0.2;3.95;4.18;-1.16;1
132;Соллерс;7.0;9.0;66.0;-2.1;-3.3;0.1;0.5;3.2;0.8;1
133;Курганская ГК;7.0;8.0;8.0;0.2;34.3;0.9;1.2;8.4;1.6;1
134;ТГК-2;6.0;19.0;44.0;-0.1;-59.4;0.1;0.2;5.1;3.5;8
135;ЮУНК;5.0;5.0;0.0;0.2;20.4;53.0;0.6;-21.78;0.0;1
136;ТНС энерго Воронеж;5.0;6.0;26.0;0.7;6.8;0.2;3.9;5.3;1.0;1
137;Россети Северо-Запад;5.0;20.0;48.0;-1.1;-4.1;0.1;0.3;4.6;3.6;1
138;Европейская Электротехника;5.0;5.0;4.0;0.4;12.4;1.3;3.9;9.4;0.2;1
139;МагадЭн;5.0;6.0;11.0;0.9;4.9;0.4;1.5;4.3;1.2;1
140;Газпром РнД (Ростовоблгаз);4.0;4.0;8.0;0.8;5.5;0.6;0.25;3.46;1.05;1
141;Россети Северный Кавказ;4.0;14.0;28.0;-11.5;-0.4;0.2;-0.2;-1.6;-1.2;1
142;ТНС энерго Ростов-на-Дону;4.0;9.0;44.0;0.2;21.0;0.1;-2.8;9.1;4.6;1
144;Россети Юг;4.0;24.0;41.0;-1.2;-3.3;0.1;1.6;7.5;6.2;1
145;Красный Октябрь;4.0;4.0;15.0;0.4;11.5;0.3;0.5;4.9;-0.1;1
148;ТГК-14;4.0;5.0;13.0;0.3;12.0;0.3;0.6;3.5;1.0;1
149;ИСКЧ;4.0;4.0;1.0;0.1;51.7;3.5;58.9;14.3;0.3;4
150;Русполимет;4.0;10.0;15.0;0.0;-289.0;0.3;0.6;2.4;1.5;6
152;Якутскэнерго;4.0;25.0;20.0;-2.0;-1.8;0.2;3.4;7.6;6.5;1
158;OR Group (Обувь России);3.0;15.0;11.0;0.6;4.6;0.2;0.2;6.6;5.5;1
160;Северо-Западное Пароходство;2.0;7.0;11.0;1.3;1.9;0.2;0.3;1.9;1.2;1
161;НПО Наука;2.0;3.0;2.0;0.0;140.4;1.3;0.9;11.7;3.7;4
163;ТНС энерго Кубань;2.0;5.0;50.0;-0.5;-4.5;0.0;-2.4;20.1;11.5;1
164;Globaltruck;2.0;5.0;10.0;0.1;31.5;0.2;0.4;5.1;3.0;1
165;Светофор Групп;2.0;2.0;0.0;0.1;28.8;6.0;-10.9;15.2;0.4;1
166;Химпром;2.0;6.0;15.0;0.9;2.1;0.1;0.6;2.8;1.9;1
167;ТНС энерго Марий Эл;2.0;2.0;7.0;0.3;6.9;0.2;1.6;6.5;1.8;1
168;Нижнекамскшина;2.0;4.0;7.0;-4.2;-0.4;0.2;-0.7;-0.7;-0.4;1
169;Россети Томск (ТРК);2.0;1.0;7.0;-0.3;-4.6;0.2;0.5;13.5;-0.6;1
170;ЧЗПСН;1.0;3.0;6.0;0.0;72.8;0.3;0.1;18.4;9.9;4
171;Сахалинэнерго;1.0;3.0;10.0;-2.7;-0.5;0.1;0.5;0.6;0.3;1
172;РБК;1.0;15.0;6.0;0.5;2.8;0.2;-0.1;11.7;10.6;1
174;Росинтер;1.0;6.0;4.0;-1.8;-0.6;0.3;-0.3;3.1;2.5;1
175;ММЦБ;1.0;1.0;0.0;0.1;8.5;4.3;5.9;6.7;-0.2;1
178;Калужская сбытовая компания;1.0;5.0;22.0;0.1;11.6;0.0;0.9;8.2;6.5;1
179;Фармсинтез;1.0;1.0;0.0;-0.5;-1.8;2.4;1.5;-2.8;-0.8;1
180;Челябэнергосбыт;1.0;7.0;40.0;0.2;5.0;0.0;1.0;12.3;10.8;1
